"order_id","order_date","customer_id","contact_name","product_id","product_name","category_id","unit_price","units_in_stock","units_on_order","reorder_level","discontinued","order_id-2","product_id-2","unit_price-2","quantity","discount","employee_id","birth_date","hire_date","category_id-2","category_name","shipper_id","company_name"
10248,"1996-07-04","VINET","Paul Henriot",11,"Queso Cabrales",4,"21",22,30,30,0,10248,11,"14",12,"0",5,"1955-03-04","1993-10-17",4,"Dairy Products",3,"Federal Shipping"
10248,"1996-07-04","VINET","Paul Henriot",42,"Singaporean Hokkien Fried Mee",5,"14",26,0,0,1,10248,42,"9.8",10,"0",5,"1955-03-04","1993-10-17",5,"Grains/Cereals",3,"Federal Shipping"
10248,"1996-07-04","VINET","Paul Henriot",72,"Mozzarella di Giovanni",4,"34.8",14,0,0,0,10248,72,"34.8",5,"0",5,"1955-03-04","1993-10-17",4,"Dairy Products",3,"Federal Shipping"
10249,"1996-07-05","TOMSP","Karin Josephs",14,"Tofu",7,"23.25",35,0,0,0,10249,14,"18.6",9,"0",6,"1963-07-02","1993-10-17",7,"Produce",1,"Speedy Express"
10249,"1996-07-05","TOMSP","Karin Josephs",51,"Manjimup Dried Apples",7,"53",20,0,10,0,10249,51,"42.4",40,"0",6,"1963-07-02","1993-10-17",7,"Produce",1,"Speedy Express"
10250,"1996-07-08","HANAR","Mario Pontes",41,"Jack's New England Clam Chowder",8,"9.65",85,0,10,0,10250,41,"7.7",10,"0",4,"1937-09-19","1993-05-03",8,"Seafood",2,"United Package"
10250,"1996-07-08","HANAR","Mario Pontes",51,"Manjimup Dried Apples",7,"53",20,0,10,0,10250,51,"42.4",35,"0.15",4,"1937-09-19","1993-05-03",7,"Produce",2,"United Package"
10250,"1996-07-08","HANAR","Mario Pontes",65,"Louisiana Fiery Hot Pepper Sauce",2,"21.05",76,0,0,0,10250,65,"16.8",15,"0.15",4,"1937-09-19","1993-05-03",2,"Condiments",2,"United Package"
10251,"1996-07-08","VICTE","Mary Saveley",22,"Gustaf's Knäckebröd",5,"21",104,0,25,0,10251,22,"16.8",6,"0.05",3,"1963-08-30","1992-04-01",5,"Grains/Cereals",1,"Speedy Express"
10251,"1996-07-08","VICTE","Mary Saveley",57,"Ravioli Angelo",5,"19.5",36,0,20,0,10251,57,"15.6",15,"0.05",3,"1963-08-30","1992-04-01",5,"Grains/Cereals",1,"Speedy Express"
10251,"1996-07-08","VICTE","Mary Saveley",65,"Louisiana Fiery Hot Pepper Sauce",2,"21.05",76,0,0,0,10251,65,"16.8",20,"0",3,"1963-08-30","1992-04-01",2,"Condiments",1,"Speedy Express"
10252,"1996-07-09","SUPRD","Pascale Cartrain",20,"Sir Rodney's Marmalade",3,"81",40,0,0,0,10252,20,"64.8",40,"0.05",4,"1937-09-19","1993-05-03",3,"Confections",2,"United Package"
10252,"1996-07-09","SUPRD","Pascale Cartrain",33,"Geitost",4,"2.5",112,0,20,0,10252,33,"2",25,"0.05",4,"1937-09-19","1993-05-03",4,"Dairy Products",2,"United Package"
